fuel model number,fuel model code,1-hr fuel load,10-hr fuel load,100-hr fuel load,live herb fuel load,live woody fuel load,fuel model type,1-hr surface area/vol ratio,herb. surface area/vol ratio,live woody surface area/vol ratio,Fuel Bed Depth,Dead fuel moisture of Ext.,dead fuel heat content,live fuel heat content,fuel model name
101,GR1,0.10,0.00,0.00,0.30,0.00,dynamic,2200,2000,9999,0.40,15,8000,8000,"Short, sparse dry climate grass"
102,GR2,0.10,0.00,0.00,1.00,0.00,dynamic,2000,1800,9999,1.00,15,8000,8000,Low load dry climate grass
103,GR3,0.10,0.40,0.00,1.50,0.00,dynamic,1500,1300,9999,2.00,30,8000,8000,Low load very coarse humid climate grass
104,GR4,0.25,0.00,0.00,1.90,0.00,dynamic,2000,1800,9999,2.00,15,8000,8000,Moderate load dry climate grass
105,GR5,0.40,0.00,0.00,2.50,0.00,dynamic,1800,1600,9999,1.50,40,8000,8000,low load humid climate grass
106,GR6,0.10,0.00,0.00,3.40,0.00,dynamic,2200,2000,9999,1.50,40,9000,9000,moderate load humid climate grass
107,GR7,1.00,0.00,0.00,5.40,0.00,dynamic,2000,1800,9999,3.00,15,8000,8000,High load dry climate grass
108,GR8,0.50,1.00,0.00,7.30,0.00,dynamic,1500,1300,9999,4.00,30,8000,8000,High load very coarse humid climate grass
109,GR9,1.00,1.00,0.00,9.00,0.00,dynamic,1800,1600,9999,5.00,40,8000,8000,very high load humid climate grass
121,GS1,0.20,0.00,0.00,0.50,0.65,dynamic,2000,1800,1800,0.90,15,8000,8000,low load dry climate grass-shrub
122,GS2,0.50,0.50,0.00,0.60,1.00,dynamic,2000,1800,1800,1.50,15,8000,8000,moderate load dry climate grass-shrub
123,GS3,0.30,0.25,0.00,1.45,1.25,dynamic,1800,1600,1600,1.80,40,8000,8000,moderate load humid climate grass-shrub
124,GS4,1.90,0.30,0.10,3.40,7.10,dynamic,1800,1600,1600,2.10,40,8000,8000,high load humid climate grass-shrub
141,SH1,0.25,0.25,0.00,0.15,1.30,dynamic,2000,1800,1600,1.00,15,8000,8000,low load dry climate shrub
142,SH2,1.35,2.40,0.75,0.00,3.85,N/A,2000,9999,1600,1.00,15,8000,8000,moderate load dry climate shrub
143,SH3,0.45,3.00,0.00,0.00,6.20,N/A,1600,9999,1400,2.40,40,8000,8000,moderate load humid climate shrub
144,SH4,0.85,1.15,0.20,0.00,2.55,N/A,2000,1800,1600,3.00,30,8000,8000,low load humid climate timber-shrub
145,SH5,3.60,2.10,0.00,0.00,2.90,N/A,750,9999,1600,6.00,15,8000,8000,high load dry climate shrub
146,SH6,2.90,1.45,0.00,0.00,1.40,N/A,750,9999,1600,2.00,30,8000,8000,low load humid climate shrub
147,SH7,3.50,5.30,2.20,0.00,3.40,N/A,750,9999,1600,6.00,15,8000,8000,very high load dry climate shrub
148,SH8,2.05,3.40,0.85,0.00,4.35,N/A,750,9999,1600,3.00,40,8000,8000,high load humid climate shrub
149,SH9,4.50,2.45,0.00,1.55,7.00,dynamic,750,1800,1500,4.40,40,8000,8000,very high load humid climate shrub
161,TU1,0.20,0.90,1.50,0.20,0.90,dynamic,2000,1800,1600,0.60,20,8000,8000,light load dry climate timber-grass-shrub
162,TU2,0.95,1.80,1.25,0.00,0.20,N/A,2000,9999,1600,1.00,30,8000,8000,moderate load humid climate timber-shrub
163,TU3,1.10,0.15,0.25,0.65,1.10,dynamic,1800,1600,1400,1.30,30,8000,8000,moderate load humid climate timber-grass-shrub
164,TU4,4.50,0.00,0.00,0.00,2.00,N/A,2300,9999,2000,0.50,12,8000,8000,dwarf conifer with understory
165,TU5,4.00,4.00,3.00,0.00,3.00,N/A,1500,9999,750,1.00,25,8000,8000,very high load dry climate timber-shrub
181,TL1,1.00,2.20,3.60,0.00,0.00,N/A,2000,9999,9999,0.20,30,8000,8000,Low load compact conifer litter
182,TL2,1.40,2.30,2.20,0.00,0.00,N/A,2000,9999,9999,0.20,25,8000,8000,low load broadleaf litter
183,TL3,0.50,2.20,2.80,0.00,0.00,N/A,2000,9999,9999,0.30,20,8000,8000,moderate load conifer litter
184,TL4,0.50,1.50,4.20,0.00,0.00,N/A,2000,9999,9999,0.40,25,8000,8000,Small downed logs
185,TL5,1.15,2.50,4.40,0.00,0.00,N/A,2000,9999,1600,0.60,25,8000,8000,high load conifer litter
186,TL6,2.40,1.20,1.20,0.00,0.00,N/A,2000,9999,9999,0.30,25,8000,8000,moderate load broadleaf litter
187,TL7,0.30,1.40,8.10,0.00,0.00,N/A,2000,9999,9999,0.40,25,8000,8000,Large downed logs
188,TL8,5.80,1.40,1.10,0.00,0.00,N/A,1800,9999,9999,0.30,35,8000,8000,long-needle litter
189,TL9,6.65,3.30,4.15,0.00,0.00,N/A,1800,9999,1600,0.60,35,8000,8000,very high load broadleaf litter
201,SB1,1.50,3.00,11.00,0.00,0.00,N/A,2000,9999,9999,1.00,25,8000,8000,low load activity fuel
202,SB2,4.50,4.25,4.00,0.00,0.00,N/A,2000,9999,9999,1.00,25,8000,8000,moderate load activity or low load blowdown
203,SB3,5.50,2.75,3.00,0.00,0.00,N/A,2000,9999,9999,1.20,25,8000,8000,high load activity fuel or moderate load blowdown
204,SB4,5.25,3.50,5.25,0.00,0.00,N/A,2000,9999,9999,2.70,25,8000,8000,high load blowdown
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
